                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.55183,                 1.1273,                 1.1793,                0.95663,                      1,                  0.995,                0.78449,                 0.7422,                 2.2114,                 1.5628,             0.00041169,             0.00041169,             0.00041169
                     60,                0.59936,                 1.2457,                 1.2939,                0.92127,                      1,                  0.995,                0.82487,                0.76631,                   2.06,                 1.6535,             0.00040905,             0.00040905,             0.00040905
                     61,                0.44885,                  1.536,                 1.1654,                0.92127,                      1,                  0.995,                0.82487,                0.76631,                   2.06,                 1.6535,             0.00040608,             0.00040608,             0.00040608
                     62,                0.66384,                  1.239,                 1.1583,                0.92127,                      1,                  0.995,                0.82487,                0.76631,                   2.06,                 1.6535,             0.00040278,             0.00040278,             0.00040278
                     63,                0.69106,                 1.1195,                  1.251,                0.89598,                      1,                  0.995,                0.86225,                0.66716,                  2.109,                 1.5037,             0.00039915,             0.00039915,             0.00039915
                     64,                0.66661,                 1.2126,                 1.2774,                0.89598,                      1,                  0.995,                0.86225,                0.66716,                  2.109,                 1.5037,             0.00039519,             0.00039519,             0.00039519
                     65,                 0.8097,                 1.5501,                 1.4249,                0.89598,                      1,                  0.995,                0.86225,                0.66716,                  2.109,                 1.5037,              0.0003909,              0.0003909,              0.0003909
                     66,                0.84733,                  1.543,                 1.4373,                0.73153,                      1,                  0.995,                0.87984,                  0.646,                 2.2148,                 1.4584,             0.00038629,             0.00038629,             0.00038629
                     67,                0.60431,                  1.169,                 1.1822,                0.73153,                      1,                  0.995,                0.87984,                  0.646,                 2.2148,                 1.4584,             0.00038134,             0.00038134,             0.00038134
                     68,                0.60872,                  1.218,                 1.2419,                0.73153,                      1,                  0.995,                0.87984,                  0.646,                 2.2148,                 1.4584,             0.00037606,             0.00037606,             0.00037606
                     69,                0.70336,                 1.0795,                 1.2498,                0.73688,                0.99719,                  0.995,                0.84575,                0.60268,                 2.0145,                  1.337,             0.00037045,             0.00037045,             0.00037045
                     70,                 0.7921,                 1.2396,                  1.289,                0.73688,                0.99719,                  0.995,                0.84575,                0.60268,                 2.0145,                  1.337,             0.00036451,             0.00036451,             0.00036451
                     71,                0.56407,                 1.0939,                 1.1866,                0.73688,                0.99719,                  0.995,                0.84575,                0.60268,                 2.0145,                  1.337,             0.00035824,             0.00035824,             0.00035824
                     72,                0.58467,                 1.1363,                  1.192,                0.75562,                0.99836,                  0.995,                0.76265,                0.60325,                 1.9905,                 1.2886,             0.00035164,             0.00035164,             0.00035164
                     73,                  0.954,                 1.6854,                 1.5154,                0.75562,                0.99836,                  0.995,                0.76265,                0.60325,                 1.9905,                 1.2886,             0.00034471,             0.00034471,             0.00034471
                     74,                0.66049,                 1.2535,                  1.331,                0.75562,                0.99836,                  0.995,                0.76265,                0.60325,                 1.9905,                 1.2886,             0.00033745,             0.00033745,             0.00033745
                     75,                 0.6229,                  1.256,                  1.301,                0.81801,                  0.875,                   0.97,                0.84455,                0.55856,                 1.9789,                 1.2564,             0.00032986,             0.00032986,             0.00032986
